Zone;Chapelle;Planche;Culture;Conduite;Variété n°;Action;Sem. début;Sem. fin;Mois début;Mois fin;Commentaire;Score adéquation
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Semis en pot/plant;8;10;février;mars;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Travail du sol;10;10;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Apport de compost;10;10;mars;mars;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Paillage;10;10;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Plantation;11;13;mars;mars;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;1;Récolte;22;26;mai;juin;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Semis en pot/plant;10;12;mars;mars;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Travail du sol;12;12;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Apport de compost;12;12;mars;mars;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Paillage;12;12;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Plantation;13;15;mars;avril;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;2;Récolte;23;27;juin;juillet;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Semis en pot/plant;12;14;mars;avril;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Travail du sol;14;14;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Apport de compost;14;14;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Paillage;14;14;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Plantation;15;17;avril;avril;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;3;Récolte;25;31;juin;juillet;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Semis en pot/plant;14;16;avril;avril;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Apport de compost;16;16;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Plantation;17;19;avril;mai;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Récolte;27;33;juillet;août;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;4;Conservation;35;46;août;novembre;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Travail du sol;17;17;avril;avril;Ameublir, décompacter et affiner la planche avant semis direct.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Apport de compost;17;17;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Semis direct;18;20;avril;mai;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Paillage;19;19;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Plantation;20;22;mai;mai;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Récolte;30;36;juillet;septembre;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;5;Conservation;38;48;septembre;novembre;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Semis direct;20;22;mai;mai;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Paillage;21;21;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Plantation;22;24;mai;juin;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Récolte;32;38;août;septembre;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;PC;6;Conservation;40;50;octobre;décembre;Variétés précoces, de saison et tardives;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Plantation;1;2;janvier;janvier;Variétés précoces résistantes à la montaison;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Travail du sol;1;1;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Apport de compost;1;1;janvier;janvier;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Paillage;1;1;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Récolte;16;20;avril;mai;Variétés précoces résistantes à la montaison;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;1;Semis en pot/plant;47;49;novembre;décembre;Variétés précoces résistantes à la montaison;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;2;Semis en pot/plant;1;2;janvier;janvier;Variétés précoces;96
Inter-serre;Inter-serre;P1;Betterave botte;SA;2;Travail du sol;4;4;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.;96
